FECHA,PRECIP,TMAX,TMIN
01/01/2018,0,25,13
02/01/2018,0,24.5,12.5
03/01/2018,0,24,12
04/01/2018,0,23.5,12
05/01/2018,0,25,11.5
06/01/2018,0,24.5,11.5
07/01/2018,0,24.5,11.5
08/01/2018,0,25,11
09/01/2018,0,26,11.5
10/01/2018,0,25,11.5
11/01/2018,0,25.5,11
12/01/2018,0,24.5,10.5
13/01/2018,0,26.5,10
14/01/2018,0,23.5,7.5
15/01/2018,0,24,7.5
16/01/2018,0,24.5,8.5
17/01/2018,0,24,9
18/01/2018,0,24,9
19/01/2018,0,23,10.5
20/01/2018,0,24.5,11
21/01/2018,0,25,9.5
22/01/2018,0,23.5,10
23/01/2018,0.1,25.5,10.5
24/01/2018,0,25.5,12.5
25/01/2018,0.2,23.5,11.5
26/01/2018,0,24,11
27/01/2018,1.2,25.5,11
28/01/2018,14.5,24.5,11
29/01/2018,0,19,10.5
30/01/2018,0,17,8
31/01/2018,0,17.5,7.5

